ear,mar,driver_state,label
0.2119,0.9885,alert,0
0.3392,0.9025,alert,0
0.2535,1.2072,alert,0
0.3192,1.2555,alert,0
0.3081,1.2648,alert,0
0.3343,1.0028,alert,0
0.2553,0.9716,alert,0
0.2656,1.0635,alert,0
0.2062,1.1835,alert,0
0.3259,0.9878,alert,0
0.3318,1.1018,alert,0
0.3768,1.0885,alert,0
0.2477,1.3421,alert,0
0.24,1.1507,alert,0
0.2645,1.1487,alert,0
0.2898,1.1182,alert,0
0.2651,1.0739,alert,0
0.3767,0.9014,alert,0
0.2528,1.0063,alert,0
0.3557,1.1322,alert,0
0.3481,0.9485,alert,0
0.2633,0.8995,alert,0
0.2865,1.1236,alert,0
0.283,1.1292,alert,0
0.2507,1.0749,alert,0
0.3728,1.118,alert,0
0.2455,1.0339,alert,0
0.39,0.9166,alert,0
0.3047,1.1762,alert,0
0.3226,1.2221,alert,0
0.2897,0.8947,alert,0
0.2883,1.1668,alert,0
0.2541,1.0533,alert,0
0.3201,0.684,alert,0
0.311,1.0013,alert,0
0.3111,1.0912,alert,0
0.2653,1.178,alert,0
0.2643,1.2838,alert,0
0.2527,1.0153,alert,0
0.3071,1.1875,alert,0
0.2435,1.1165,alert,0
0.3152,0.6647,alert,0
0.2605,0.9674,alert,0
0.3164,1.2471,alert,0
0.2668,0.9627,alert,0
0.3279,0.7487,alert,0
0.4964,2.8638,alert,0
0.2729,1.0473,alert,0
0.3935,1.0963,alert,0
0.1728,1.0822,alert,0
0.3375,0.6073,alert,0
0.2591,1.0338,alert,0
0.2988,1.2707,alert,0
0.3154,1.0905,alert,0
0.2306,1.2463,alert,0
0.3658,1.158,alert,0
0.309,0.78,alert,0
0.1777,1.0567,alert,0
0.4141,1.2047,alert,0
0.2586,0.963,alert,0
0.2694,1.1823,alert,0
0.2718,0.9417,alert,0
0.3151,1.0035,alert,0
0.2669,1.1792,alert,0
0.2978,1.0083,alert,0
0.2336,0.9488,alert,0
0.143,1.1252,alert,0
0.2941,1.1864,alert,0
0.2956,1.1277,alert,0
0.2431,0.9865,alert,0
0.311,1.0296,alert,0
0.281,0.9042,alert,0
0.3739,1.4031,alert,0
0.2874,1.2186,alert,0
0.3443,1.2801,alert,0
0.334,1.1414,alert,0
0.1957,1.1618,alert,0
0.2441,0.9033,alert,0
0.371,0.8967,alert,0
0.4068,0.761,alert,0
0.2328,1.8096,alert,0
0.2524,0.9379,alert,0
0.3143,1.1386,alert,0
0.2391,1.1501,alert,0
0.3037,1.0089,alert,0
0.2699,2.3781,alert,0
0.2539,0.9446,alert,0
0.2426,1.0011,alert,0
0.297,1.2929,alert,0
0.2718,1.4512,alert,0
0.3021,1.1495,alert,0
0.2663,0.8604,alert,0
0.3427,1.0531,alert,0
0.3792,1.2277,alert,0
0.3741,1.2684,alert,0
0.2811,0.936,alert,0
0.2966,1.3411,alert,0
0.3077,1.1431,alert,0
0.3012,1.1618,alert,0
0.3742,0.8879,alert,0
0.2508,1.1811,alert,0
0.3599,1.0231,alert,0
0.3089,1.0922,alert,0
0.3233,0.9462,alert,0
0.3199,1.103,alert,0
0.1988,1.1011,alert,0
0.0483,1.159,alert,0
0.2513,0.959,alert,0
0.3874,0.8905,alert,0
0.2603,1.1782,alert,0
0.2664,1.16,alert,0
0.2805,1.1704,alert,0
0.323,1.1073,alert,0
0.302,1.0993,alert,0
0.3469,1.4948,alert,0
0.3079,1.2202,alert,0
